topic,difficulty,name,question_body
maths,hard,Permutation Sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations.

By listing and labeling all of the permutations in order, we get the following sequence for n = 3:

1. ""123""
2. ""132""
3. ""213""
4. ""231""
5. ""312""
6. ""321""

Given n and k, return the kth permutation sequence.

### Input Format

The input should consist of two space separated integers, n and k.

### Output Format

Output should consist of a single line, the kth permutation sequence.

### Example 1:

```txt
Input:
    3 3
Output:
    213
```

### Example 2:

```txt
Input:
    4 9
Output:
    2314
```

### Example 3:

```txt
Input:
    3 1
Output:
    123
```

#### Constraints:

- 1 <= n <= 9
- 1 <= k <= n!
"
maths,easy,Excel Sheet Column Title,"Given an integer columnNumber, return its corresponding column title as it appears in an Excel sheet.

For example:
```
A -> 1
B -> 2
C -> 3
-----------
Z -> 26
AA -> 27
AB -> 28
```

### Input Format

The only input line consist of a single Integer.

### Output Format

The only input line shoud consist of a single string containing the corresponding the Column Title.

### Example 1:

```txt
Input:
    1
Output:
    A
```

### Example 2:

```txt
Input:
    28
Output:
    AB
```

### Example 3:

```txt
Input:
    701
Output:
    ZY
```

### Example 4:

```txt
Input:
    2147483647
Output:
    FXSHRXW
```

#### Constraints:

- 1 <= columnNumber <= 2<sup>31</sup> - 1"
dynamicprogramming,medium,Coin Change,"Given an amount and the denominations of coins available, determine how many ways change can be made for amount. There is a limitless supply of each coin type.

Example:
n = 3
c = [8, 3, 1, 2]
There are 3 ways to make change for n = 3:{1,1,1}, {1,2}, and {3}.

### Input Format

The first line contains two space-separated integers n and m, where:
n is the amount to change
m is the number of coin types
The second line contains m space-separated integers that describe the values of each coin type.

### Output Format

Print an integer denoting the number of ways to make change for amount n using coins having the given values.

### Example 1:
```txt
Input:
    4 3
    1 2 3
Output:
    4
Explanation:
    There are four ways to make change for n = 4 using coins with values given by
    C = [1,2,3]
        1.{1,1,1,1}
        2.{1,2,1}
        3.{2,2}
        4.{1,3}
```

### Example 2:
```txt
Input:
    10 4
    2 5 3 6
Output:
    5
Explanation:
    There are five ways to make change for n = 10 units using coins with values given by
    C = [2,5,3,6]
        1.{2,2,2,2,2}
        2.{2,2,3,3}
        3.{2,2,6}
        4.{2,3,5}
        5.{5,5}
```


#### Constraints:
- 1<= C[i]<= 50
- 1<= n <= 250
- 1<=m<=50
- Each  is guaranteed to be distinct.
"
dynamicprogramming,medium,nCr,"Given two integers n and r, find nCr. Since the answer may be very large, calculate the answer modulo 10^9^+7.

### Input Format

Input consist of a single line, having two space separated integers, n and r.

### Output Format

Output should consist of a single line, the nCr value obtained.

### Example 1

```txt
Input:
    3 2
Output:
    3
Explanation:
    3C2 = 3
```

### Example 2

```txt
Input:
    2 4
Output:
    0
Explanation:
    r is greater than n.
```

#### Constraints

- 1 ≤ n ≤ 1000
- 1 ≤ r ≤ 800
- Expected Time Complexity: O(n*r)
- Expected Auxiliary Space: O(r)
"
dynamicprogramming,hard,Matrix Chain Multiplication,"Given a sequence of matrices, find the most efficient way to multiply these matrices together. The efficient way is the one that involves the least number of multiplications.

The dimensions of the matrices are given in an array arr[] of size N (such that N = number of matrices + 1) where the ith matrix has the dimensions (arr[i-1] x arr[i]).

### Input Format

First line consist a single integer N.
Second line consist of N space separated integers.

### Output Format

Output consist of a single line, The minimum number of multiplications.

### Example 1

```txt
Input:
    5
    40 20 30 10 30
Output:
    26000
Explanation:
    There are 4 matrices of dimensions 40x20, 20x30, 30x10 and 10x30.
    Let the input 4 matrices be A, B, C and D.  The minimum number of
    multiplications are obtained by putting parenthesis in following way:
    (A(BC))D --> 20*30*10 + 40*20*10 + 40*10*30

```

### Example 2

```txt
Input:
    5
    10 20 30 40 30
Output:
    30000
Explanation:
    There are 4 matrices of dimensions 10x20, 20x30, 30x40 and 40x30.
    Let the input 4 matrices be A, B, C and D.  The minimum number of
    multiplications are obtained by putting parenthesis in following way
    ((AB)C)D --> 10*20*30 + 10*30*40 + 10*40*30
```

#### Constraints

- 2 ≤ N ≤ 100
- 1 ≤ arr[i] ≤ 500
- Expected Time Complexity: O(N3)
- Expected Auxiliary Space: O(N2)
"
dynamicprogramming,medium,Edit Distance,"Given two strings S and T. Return the minimum number of operations required to convert S to T.
The possible operations are permitted:

1. Insert a character at any position of the string.
2. Remove any character from the string.
3. Replace any character from the string with any other character.

### Input Format

First line consist of first string S
Second line consist of second string T.

### Output Format

Output consist of a single line, The number of operations  required to convert S to T.

### Example 1:

```txt
    geek
    gesek
Output:
    1
Explanation:
    One operation is required
    inserting 's' between two 'e's of str1.
```

### Example 2:

```txt
Input :
    gfg
    gfg
Output:
    0
Explanation:
    Both strings are same.
```


#### Constraints:

- 1 ≤ Length of both strings ≤ 100
- Expected Time Complexity: O(|s|*|t|)
- Expected Space Complexity: O(|s|*|t|)
"
dynamicprogramming,medium,Partition Equal Subset Sum,"Given an array arr[] of size N, check if it can be partitioned into two parts such that the sum of elements in both parts is the same.

### Input Format

First line consist of the size of Array N.
Second line should consist of N space separated integers.

### Output Format

Output consist of a single line, Either Print ""YES"" or ""NO"" without Quotation Marks.

### Example 1:

```txt
Input:
    4
    1 5 11 5
Output:
    YES
Explanation:
    The two parts are {1, 5, 5} and {11}.
```

### Example 2:

```txt
Input:
    3
    1 3 5
Output:
    NO
Explanation:
    This array can never be partitioned into two such parts.
```

#### Constraints:

- 1 ≤ N ≤ 100
- 1 ≤ arr[i] ≤ 1000
- Expected Time Complexity: O(N\*sum of elements)
- Expected Auxiliary Space: O(N\*sum of elements)"
dynamicprogramming,easy,Friends Pairing Problem,"Given N friends, each one can remain single or can be paired up with some other friend. Each friend can be paired only once. Find out the total number of ways in which friends can remain single or can be paired up.

**Note** : Since answer can be very large, return your answer mod 10^9+7.

### Input Format

Input consist of a single line, N.

### Output Format

Output should consist of a single line, the total number of ways in which friends can remain single or can be paired up.

### Example 1:

```txt
Input:
    3
Output:
    4
Explanation:
    {1}, {2}, {3} : All single
    {1}, {2,3} : 2 and 3 paired but 1 is single.
    {1,2}, {3} : 1 and 2 are paired but 3 is single.
    {1,3}, {2} : 1 and 3 are paired but 2 is single.
    Note that {1,2} and {2,1} are considered same.
```

### Example 2:

```txt
Input:
    2
Output:
    2
Explanation:
    {1} , {2} : All single.
    {1,2} : 1 and 2 are paired.
```

#### Constraints:

- 1 ≤ N ≤ 104
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(1)
"
dynamicprogramming,medium,Longest Common Subsequence,"Given two sequences, find the length of longest subsequence present in both of them. Both the strings are of uppercase.

### Input Format

Input Consists of three lines,

First line consists of two space separated Integers, Length of First String and Second String.
Second Line should consist of **First String**
Third Line should consist of **Second String**

### Output Format

Output should consist of a single line, The Length of Longest Subsequence present in both of them.

### Example 1:

```txt
Input:
    6 6
    ABCDGH
    AEDFHR
Output:
    9
Explanation:
    LCS for input Sequences “ABCDGH” and “AEDFHR” is “ADH” of length 3
```

### Example 2:

```txt
Input:
    2 2
    ABC
    AC
Output:
    2
Explanation:
    LCS of ""ABC"" and ""AC"" is ""AC"" of length 2.
```


#### Constraints:

- 1<=size(str1),size(str2)<=103
- Expected Time Complexity : O(|str1|*|str2|)
- Expected Auxiliary Space: O(|str1|*|str2|)"
dynamicprogramming,medium,LCS of three strings,"Given 3 strings A, B and C, the task is to find the longest common sub-sequence in all three given sequences.

### Input Format

Input consists of three lines, each line consisting of String A, B and C respectively.

### Output Format

Output should consist of a single Line, The **Length** of the longest common sub-sequence.

### Example 1

```txt
Input:
    geeks
    geeksfor
    geeksforgeeks
Output:
    5
Explanation:
    ""geeks""is the longest common subsequence with length 5.
```

### Example 2

```txt
Input:
    abcd
    efgh
    ijkl
Output:
    0
Explanation:
    There's no common subsequence in all the strings.
```

#### Constraints:

- 1<=n1, n2, n3<=20
- Expected Time Complexity: O(n1*n2*n3).
- Expected Auxiliary Space: O(n1*n2*n3)."
dynamicprogramming,medium,Count total set bits,"You are given a number N. Find the total count of set bits for all numbers from 1 to N(both inclusive).

### Input Format

Input consists of a single line, N.

### Output Format

Output should consist of a single line, the **Total Count of set Bits** for all Numbers from 1 to N.

### Example 1:

```txt
Input:
    4
Output:
    5
Explanation:
    For numbers from 1 to 4.
    For 1: 0 0 1 = 1 set bits
    For 2: 0 1 0 = 1 set bits
    For 3: 0 1 1 = 2 set bits
    For 4: 1 0 0 = 1 set bits
    Therefore, the total set bits is 5.
```

### Example 2:
```txt
Input:
    17
Output:
    35
Explanation:
    From numbers 1 to 17(both inclusive), the total number of set bits is 35.
```


#### Constraints:
- 1 ≤ N ≤ 108
- Expected Time Complexity: O(log N).
- Expected Auxiliary Space: O(1).
"
dynamicprogramming,medium,Mobile numeric keypad,"Given the mobile numeric keypad. You can only press buttons that are up, left, right, or down to the current button. You are not allowed to press bottom row corner buttons (i.e. * and # ). Given a number N, the task is to find out the number of possible numbers of the given length.

### Input Format
Input Consists of a Single Line, N
### Output Format

Output consists of a single line, where you need to print the number of possible numbers of the given length.

### Example 1:

```txt
Input:
    1
Output:
    10
Explanation:
    Number of possible numbers would be 10 (0, 1, 2, 3, …., 9)
```

### Example 2:

```txt
Input:
    2
Output:
    36
Explanation:
    Possible numbers: 00, 08, 11,
    12, 14, 22, 21, 23, 25 and so on.
    If we start with 0, valid numbers will be 00, 08 (count: 2)
    If we start with 1, valid numbers will be 11, 12, 14 (count: 3)If we start with 2, valid numbers will be 22, 21, 23,25 (count: 4)
    If we start with 3, valid numbers will be 33, 32, 36 (count: 3)
    If we start with 4, valid numbers will be 44,41,45,47 (count: 4)
    If we start with 5, valid numbers will be 55,54,52,56,58 (count: 5) and so on..
```


#### Constraints:

- 1 ≤ N ≤ 25
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(N)
"
